,FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,FEATURE_8,FEATURE_9,FEATURE_10,FEATURE_11,FEATURE_12,FEATURE_13,FEATURE_14,FEATURE_15,FEATURE_16,FEATURE_17,FEATURE_18,FEATURE_19,FEATURE_20,FEATURE_21,FEATURE_22,FEATURE_23,FEATURE_24,FEATURE_25,FEATURE_26,FEATURE_27,FEATURE_28,FEATURE_29,FEATURE_30,FEATURE_31,FEATURE_32,MEAN,VARIANCE,PERSON
64,23087,71851,81639,22404,68712,39374,55388,72424,59749,42381,54781,70030,17626,58980,68260,17412,23087,71851,81639,22404,68712,39374,55388,72424,59749,42381,54781,70030,17626,58980,68260,17412,32,6,18
65,26720,90396,74910,22274,50273,58242,41781,92238,51031,17464,26078,77581,31874,57777,64076,39784,26720,90396,74910,22274,50273,58242,41781,92238,51031,17464,26078,77581,31874,57777,64076,39784,32,6,18
66,31520,94741,106395,19632,73482,36956,37255,74989,66816,28264,34133,76941,23328,54713,61852,36379,31520,94741,106395,19632,73482,36956,37255,74989,66816,28264,34133,76941,23328,54713,61852,36379,33,7,18
67,27532,76532,77615,16788,50494,35281,44994,79587,59137,27165,38848,89727,23915,49940,83646,27214,27532,76532,77615,16788,50494,35281,44994,79587,59137,27165,38848,89727,23915,49940,83646,27214,31,6,18
68,31891,90952,91842,44160,91361,50967,47654,99604,89568,45038,46324,70324,36110,90513,76299,16758,31891,90952,91842,44160,91361,50967,47654,99604,89568,45038,46324,70324,36110,90513,76299,16758,39,7,18
69,31897,91143,98562,38444,89362,51772,36755,95400,75710,46375,38972,76589,37997,91334,78541,29568,31897,91143,98562,38444,89362,51772,36755,95400,75710,46375,38972,76589,37997,91334,78541,29568,39,7,18
70,39163,102876,99596,38975,92922,55209,27082,89143,76385,34755,38587,75842,34163,78757,67095,28457,39163,102876,99596,38975,92922,55209,27082,89143,76385,34755,38587,75842,34163,78757,67095,28457,38,7,18
71,34813,82822,101677,28512,107251,67945,50967,70647,117729,68999,81920,107220,46682,112220,104473,39524,34813,82822,101677,28512,107251,67945,50967,70647,117729,68999,81920,107220,46682,112220,104473,39524,47,7,18
72,31858,82235,79773,34868,93186,54384,40800,91618,84796,61980,51509,104766,35201,87444,83993,48229,31858,82235,79773,34868,93186,54384,40800,91618,84796,61980,51509,104766,35201,87444,83993,48229,41,7,19
73,39494,83416,77720,32634,85783,49767,51855,86356,76036,49214,55665,104985,31140,90016,79229,50502,39494,83416,77720,32634,85783,49767,51855,86356,76036,49214,55665,104985,31140,90016,79229,50502,40,7,19
74,29464,75619,70934,23480,97590,44249,55018,102970,80268,53519,47480,102380,30897,76602,84979,43064,29464,75619,70934,23480,97590,44249,55018,102970,80268,53519,47480,102380,30897,76602,84979,43064,39,7,19
75,38823,85062,72413,32566,79255,54269,52138,94097,86679,34177,43830,102619,33557,77534,88419,32358,38823,85062,72413,32566,79255,54269,52138,94097,86679,34177,43830,102619,33557,77534,88419,32358,39,7,19
76,19941,51367,75055,27326,80566,51341,17709,69727,86571,35653,70458,72364,28771,96227,81498,25775,19941,51367,75055,27326,80566,51341,17709,69727,86571,35653,70458,72364,28771,96227,81498,25775,34,7,19
77,29942,97549,93098,37301,93760,65588,48753,84983,94953,39830,55848,82709,32989,89753,80650,22569,29942,97549,93098,37301,93760,65588,48753,84983,94953,39830,55848,82709,32989,89753,80650,22569,41,7,19
78,26267,72126,82309,39223,96077,61227,36007,94440,97941,40137,48966,92397,33780,105436,94124,44366,26267,72126,82309,39223,96077,61227,36007,94440,97941,40137,48966,92397,33780,105436,94124,44366,41,7,19
79,29340,75077,80598,40853,102443,51862,48393,82260,94194,47548,44785,95631,22046,94665,82866,28681,29340,75077,80598,40853,102443,51862,48393,82260,94194,47548,44785,95631,22046,94665,82866,28681,39,7,19
80,36536,107392,106670,30730,91627,52776,66415,86793,90556,32544,49884,90837,34212,90531,99263,28218,36536,107392,106670,30730,91627,52776,66415,86793,90556,32544,49884,90837,34212,90531,99263,28218,42,7,1
81,28841,95786,103508,41868,79939,63717,44099,98747,79551,56636,41031,103516,18626,92673,106923,34408,28841,95786,103508,41868,79939,63717,44099,98747,79551,56636,41031,103516,18626,92673,106923,34408,42,7,1
82,29673,90736,89798,39114,76449,48505,45461,98208,62777,57720,44828,83090,21181,85126,76056,24325,29673,90736,89798,39114,76449,48505,45461,98208,62777,57720,44828,83090,21181,85126,76056,24325,38,7,1
83,22870,76488,115504,23223,55913,47576,57792,83456,80567,47335,57942,62148,39201,73244,66898,17818,22870,76488,115504,23223,55913,47576,57792,83456,80567,47335,57942,62148,39201,73244,66898,17818,36,7,1
84,31765,102983,102199,30588,91794,42809,52638,70414,84154,45636,57242,56055,20140,88941,91303,22926,31765,102983,102199,30588,91794,42809,52638,70414,84154,45636,57242,56055,20140,88941,91303,22926,38,7,1
85,27529,104543,109866,33113,86207,49879,41975,83652,90113,58321,41180,91329,26829,90967,88099,25300,27529,104543,109866,33113,86207,49879,41975,83652,90113,58321,41180,91329,26829,90967,88099,25300,40,7,1
86,35460,100089,99117,34910,84213,48491,36576,83431,73518,50792,33972,82477,23754,78550,73635,23772,35460,100089,99117,34910,84213,48491,36576,83431,73518,50792,33972,82477,23754,78550,73635,23772,37,7,1
87,25287,103603,101630,34787,81676,49227,43745,81276,84992,52422,40814,83659,24312,87222,81112,28956,25287,103603,101630,34787,81676,49227,43745,81276,84992,52422,40814,83659,24312,87222,81112,28956,39,7,1
88,37136,113900,86783,41965,98536,55064,49359,93054,87781,32414,38561,95121,23481,78276,78998,32465,37136,113900,86783,41965,98536,55064,49359,93054,87781,32414,38561,95121,23481,78276,78998,32465,40,7,20
89,36593,102400,104307,36287,102759,46545,34476,100464,76688,47682,49184,108013,16454,77838,71241,32387,36593,102400,104307,36287,102759,46545,34476,100464,76688,47682,49184,108013,16454,77838,71241,32387,40,7,20
90,43440,119108,97700,41592,101620,63278,47313,79503,86082,35080,44653,94934,27194,72890,87921,33993,43440,119108,97700,41592,101620,63278,47313,79503,86082,35080,44653,94934,27194,72890,87921,33993,42,7,20
91,40685,114697,103757,39867,103188,43487,43048,87726,87757,52123,49144,98352,26756,87537,70479,32300,40685,114697,103757,39867,103188,43487,43048,87726,87757,52123,49144,98352,26756,87537,70479,32300,42,7,20
92,32924,105850,111041,28381,92235,47023,46477,84705,85699,34694,54628,80762,23996,75132,68644,20117,32924,105850,111041,28381,92235,47023,46477,84705,85699,34694,54628,80762,23996,75132,68644,20117,38,7,20
93,39305,116785,110312,39330,111052,47825,44473,88720,98875,55190,42450,86832,28607,81756,77314,28746,39305,116785,110312,39330,111052,47825,44473,88720,98875,55190,42450,86832,28607,81756,77314,28746,42,7,20
94,29392,89853,94313,39646,99291,52603,38793,92302,97852,46474,39236,77196,28390,85768,72499,29324,29392,89853,94313,39646,99291,52603,38793,92302,97852,46474,39236,77196,28390,85768,72499,29324,39,7,20
95,37893,109297,94766,39017,99659,49637,41544,91030,99718,56566,44516,88134,26075,82186,72186,26114,37893,109297,94766,39017,99659,49637,41544,91030,99718,56566,44516,88134,26075,82186,72186,26114,41,7,20
96,40351,106413,113292,41848,104548,53142,35383,96955,105327,49765,41146,85218,26901,90845,74562,32271,40351,106413,113292,41848,104548,53142,35383,96955,105327,49765,41146,85218,26901,90845,74562,32271,42,7,20
97,40936,108723,112960,41190,103612,51759,37456,100822,100621,46443,40563,86257,29106,84260,73144,32191,40936,108723,112960,41190,103612,51759,37456,100822,100621,46443,40563,86257,29106,84260,73144,32191,42,7,20
98,23004,87649,89127,26516,89396,56744,41398,76574,84978,62273,43405,95170,19535,71786,86201,32476,23004,87649,89127,26516,89396,56744,41398,76574,84978,62273,43405,95170,19535,71786,86201,32476,38,7,21
99,20651,89208,84104,25363,86591,53699,46197,93168,81287,56151,40601,59394,24457,89975,67676,27372,20651,89208,84104,25363,86591,53699,46197,93168,81287,56151,40601,59394,24457,89975,67676,27372,36,7,21
100,37152,85804,84492,29337,79411,45403,51226,107431,83562,39695,70478,93620,32889,90259,93270,32797,37152,85804,84492,29337,79411,45403,51226,107431,83562,39695,70478,93620,32889,90259,93270,32797,41,7,21
101,39702,85039,99238,34821,72261,44605,62430,53853,66132,43275,66631,69772,40415,98806,80452,20503,39702,85039,99238,34821,72261,44605,62430,53853,66132,43275,66631,69772,40415,98806,80452,20503,38,7,21
102,25851,90359,78013,28664,87654,58680,44924,99086,62411,64086,65368,119337,27114,96511,108486,30075,25851,90359,78013,28664,87654,58680,44924,99086,62411,64086,65368,119337,27114,96511,108486,30075,42,7,21
103,23957,81400,99019,35619,90776,69358,36522,96144,94674,73796,51302,104702,26421,94489,100051,31845,23957,81400,99019,35619,90776,69358,36522,96144,94674,73796,51302,104702,26421,94489,100051,31845,43,7,21
104,32839,84997,82346,26133,61693,58148,36920,57618,73606,59097,46079,84223,17074,81247,96436,44668,32839,84997,82346,26133,61693,58148,36920,57618,73606,59097,46079,84223,17074,81247,96436,44668,36,7,21
105,36348,85882,91870,30144,92041,40614,63183,79732,98776,48518,57657,72342,44487,103451,86595,21821,36348,85882,91870,30144,92041,40614,63183,79732,98776,48518,57657,72342,44487,103451,86595,21821,41,7,21
106,22195,81442,83534,24161,81271,69821,55231,91904,97896,54328,45429,88274,36222,104799,100565,29489,22195,81442,83534,24161,81271,69821,55231,91904,97896,54328,45429,88274,36222,104799,100565,29489,41,7,21
107,26656,84003,78276,27788,66337,23911,51767,65843,85408,41474,59701,67250,42431,99339,80658,21200,26656,84003,78276,27788,66337,23911,51767,65843,85408,41474,59701,67250,42431,99339,80658,21200,36,7,21
108,35743,91909,108954,44328,84012,57356,56979,93536,82207,32778,64807,83734,33333,83447,83549,24160,35743,91909,108954,44328,84012,57356,56979,93536,82207,32778,64807,83734,33333,83447,83549,24160,41,7,22
109,32593,96735,86775,28604,89218,56072,58615,84626,61622,47370,53299,76566,23681,78033,75904,32671,32593,96735,86775,28604,89218,56072,58615,84626,61622,47370,53299,76566,23681,78033,75904,32671,38,7,22
